relbow,lelbow,rarmpit,larmpit,rhip,lhip,rknee,lknee,rankle,lankle,correct_form
103.2708119,118.0097982,40.65453707,38.07656119,172.2570265,178.4032845,173.514996,179.2034602,102.8028972,102.0503657,0
149.7364793,178.1459995,42.98408512,41.86642505,170.4031951,179.0938499,161.6042291,171.3479615,118.6191433,114.3000538,0
81.95086261,101.9693078,23.88573256,16.5534157,177.6219368,171.6558943,169.8781204,169.363342,81.23124412,78.90928036,0
174.1714054,158.9566699,64.78206103,67.65044416,175.4773626,173.2105646,160.074057,169.0556484,113.7109748,118.5819892,0
72.64705956,60.36757382,44.90974691,45.17506277,178.5083001,174.1108469,165.6633224,161.4990399,109.0628821,117.3044052,0
77.53312931,101.6438174,28.16618167,28.65772544,177.8696084,178.502629,172.9501176,169.3929526,78.78522777,75.07555172,0
167.1461428,140.362218,1.734166953,2.173893972,170.0830643,172.2628566,172.1615228,178.0211235,86.58999351,90.70713936,0
78.6404197,74.99251718,71.61366433,65.68672155,170.7236093,175.9446569,167.6941939,168.4459756,113.0291289,114.8375424,1
64.02197505,64.07261068,53.93061239,51.72603624,172.7414769,177.4064622,168.8231498,177.1708193,89.42946181,85.62134673,1
59.62070559,63.14319609,11.13368336,11.38193918,179.2462706,170.3288644,181.3009534,174.0277014,97.78517221,106.9027741,0
114.5781594,125.8252337,45.26922698,53.9866243,170.9266877,173.3125338,167.527287,171.4220791,96.98905058,100.3175775,0
68.54088378,54.15927134,67.59525446,70.57693082,183.4937527,187.4536877,170.5157359,158.2522183,74.87755694,72.95183713,0
57.22847513,59.6846919,12.93733409,18.38902947,155.0176444,153.5279757,172.2121274,172.0081878,85.48184402,99.81363621,0
179.2840529,171.4972122,72.76443334,65.12889607,174.4435495,173.1822171,167.7220138,165.6272411,88.77992493,86.30402,1
173.6263586,167.7172651,8.412908817,13.19656724,170.7629031,172.1061197,179.253844,174.4728241,110.4969757,119.3717953,1
76.16115932,86.73740066,62.55607652,61.56648507,174.6253885,171.6707762,169.5011988,167.6550516,99.60761039,107.4126722,0
