relbow,lelbow,rarmpit,larmpit,rhip,lhip,rknee,lknee,rankle,lankle,correct_form
89.58715468,96.42776196,69.85954556,69.51698073,141.030132,147.2138608,165.8906666,156.2907031,76.02695643,85.25849394,1
99.14483031,95.69304771,108.115482,107.3789283,86.14706184,88.04564303,143.672719,144.2721365,96.55557459,86.75401077,1
57.49649152,49.08194202,17.90043741,25.63811336,137.5507153,126.7711259,171.5593311,167.7004341,48.87492689,52.53395584,0
81.87820519,73.52231457,146.5484044,152.9874439,127.8287429,132.2555763,44.71085972,40.35544588,90.71225518,91.3249508,0
107.249033,107.4266726,12.6249346,21.49629044,157.8740888,158.0369175,62.23201408,60.24232601,72.79753242,73.65477117,1
46.37565151,48.45657133,172.0999604,164.9022214,56.70982488,50.54664994,125.8570261,117.3682759,62.9311601,60.35356176,1
67.19241107,76.8882903,97.93757746,104.8947228,147.9801523,153.993458,53.32730282,61.9818361,84.31923761,74.97575183,1
37.9709773,47.63854128,161.6798186,160.2386923,77.87434871,70.13092944,126.2359027,133.3229925,103.1698087,103.5289485,1
118.9969503,115.4997673,90.98715629,72.37978766,78.09800626,80.06379957,102.50342,102.3997115,87.52962329,78.23678864,0
50.72715453,52.69735954,154.8867685,159.8783543,65.78455209,74.65789877,148.9387517,141.0595347,80.08354579,75.11785711,1
124.5304811,114.9814191,37.12922734,40.31149925,61.70740094,61.22962927,99.40232925,105.5878557,82.8121033,86.78371951,1
67.92310073,69.95170249,163.690145,159.0651882,154.2853759,152.6567957,102.7320115,104.319529,77.82370666,87.6634047,1
123.3943416,101.0083232,158.0999879,157.4039169,128.3053173,116.8243166,139.6228891,156.1018382,67.05824501,86.19982141,0
65.43127457,72.15869879,135.5240038,132.4500155,74.74302154,82.06284367,46.67667465,47.20724151,47.70948434,45.57341442,0
115.2542692,97.19801779,151.3189154,161.8212352,128.176177,123.5641606,101.6732835,108.4261568,85.50286135,75.08418375,0
177.1292365,173.2680184,146.2920422,146.7458677,154.9794033,147.1518103,88.96179171,97.13313074,96.99543374,90.99223889,1
88.1224847,86.94879447,108.0624639,112.0642129,86.84771462,87.82374162,107.5382143,108.0809734,56.25819374,62.38502711,0
149.1660232,143.4495948,42.7861439,50.7500198,103.1438262,98.53689837,142.303145,134.8135858,48.13612561,57.70853351,0
76.25721573,73.61438028,62.0096051,69.8583381,114.1230993,111.5588196,176.0286505,166.255094,74.08248659,77.33571703,1
25.39561983,29.29072301,67.23950158,72.53468269,70.64395377,67.4597557,67.98164852,76.1208895,71.85703464,76.36062351,1
48.71739951,56.19125905,131.6589114,124.9394116,159.535715,166.6679293,67.53421107,64.30838466,71.02609648,69.84650364,0
154.4197182,152.4830654,76.60899143,72.77010024,90.48636531,87.34452241,58.9378502,61.43929055,80.75412967,81.65956958,1
33.02656409,23.15051525,135.1539507,117.4308019,91.94098131,94.88921212,70.39423846,89.98637807,65.59071592,74.90518377,0
137.7144876,156.3334394,178.8338182,177.0484846,82.15645181,87.94997311,59.47070309,71.29890733,86.83151694,68.10831286,0
169.5298147,173.6989523,113.3118766,111.2603407,115.3467733,113.1387362,65.76516823,59.32779446,62.87270754,53.43216359,0
120.4190713,124.8971125,43.72197606,31.73785812,112.7358205,106.9911261,136.9719634,135.7589234,70.07834649,66.08322907,0
56.17169471,44.66830914,16.21481622,23.25575344,85.57272447,69.22157258,116.0910535,111.540637,71.35854025,63.4476073,0
78.65680508,87.81007405,45.56859414,54.01004849,105.2677196,120.281019,156.8034969,164.7213112,72.48762951,76.77506197,0
147.5929576,152.5842982,105.8507231,101.4765568,115.3775014,124.2902636,78.60063178,85.44841466,81.18723028,77.32720259,1
97.96225102,123.1848037,64.46672205,178.2472903,112.8837122,145.4625037,73.29258905,87.33849288,69.54065141,80.63840671,0
64.54305115,59.19437496,78.17638175,75.94034598,49.51478758,58.31815896,41.52924212,34.42868814,45.80996685,45.66888318,0
162.1843743,175.5604835,35.11648474,22.66118577,82.94406648,79.96382917,102.2386139,94.16980372,50.11301829,46.45217245,0
166.1228863,161.0365853,92.56643084,98.7150009,69.14422189,65.23764835,117.7758274,127.0812365,76.31916223,77.23998461,1
48.26898508,51.76785799,47.65017936,52.71673113,135.2283593,139.0070739,111.2670265,104.4536028,85.63045596,77.34249896,1
50.44682527,53.14613405,117.4972151,111.7756264,89.99778769,88.83320778,136.1299583,141.250436,66.10074772,61.14477852,1
66.47478042,54.64211812,136.2033218,148.2237904,97.12833333,81.34257221,177.5758251,162.425098,81.40491582,63.88002305,0
136.7487676,138.7014362,96.43830546,95.96276124,139.1682739,129.7767051,61.4200608,53.57323161,97.10649332,91.34934972,1
47.49591052,27.06570132,164.7494979,77.32652005,65.99802856,110.6336379,135.775796,160.3853794,78.23453201,60.22757336,0
91.46555862,74.02230881,92.39255739,96.08025703,92.8979633,91.52137544,140.0606727,147.5528223,76.79688666,69.83730279,0
160.3223409,134.8439096,29.99500921,42.52702215,97.41252871,109.7073301,126.7140665,106.1858856,60.44697822,60.77560168,0
106.8505485,108.0808736,64.57914368,60.95250792,142.0520792,136.4522731,42.92216389,47.15558904,67.73190075,60.10355292,0
91.23053053,89.90679752,20.01680036,11.40042377,141.3589372,133.4088053,60.18789545,56.38148247,100.6485024,97.47390721,1
125.1294312,127.063857,121.7622588,120.4986827,104.4333139,94.89438725,103.1867743,97.92211235,55.80561219,58.05213534,0
54.2915226,56.56473797,148.4169713,148.7737113,133.7342159,131.317375,140.0988865,145.6436943,71.80323703,81.68442334,1
107.6317014,111.0913279,160.0770325,166.9897519,53.85986022,59.03034162,71.04439981,74.30424285,54.80586465,57.30422299,0
172.5207137,179.7778283,168.4637228,178.9471825,93.00795667,111.3639229,100.5049446,84.60738562,69.88474507,60.70324244,0
48.56911172,46.16067033,128.9211311,126.5468875,107.1000028,97.67783228,122.5055619,130.3062467,92.4535734,87.02641055,1
63.54253219,72.89372774,114.5179748,114.3045723,146.9286351,137.4004421,107.3234164,99.94574724,84.15426768,74.78591975,1
116.7825934,117.9082512,108.9576424,113.0787575,84.02890929,113.5475601,82.05902149,94.82128222,65.72348802,86.3436662,0
140.5934293,166.6003971,86.45485604,80.03103792,52.82931601,58.20651447,93.01540244,120.5117167,61.79671826,68.71368269,0
154.7842357,151.612656,47.03577633,51.63364118,97.13660277,104.0120511,152.153829,142.2520761,63.29709431,72.92823792,1
